第26课			
「ふくが～」	「服が～」	【衣服】脏了	
つく	付く	附有、带有	
「ポケットが～」	「Pocketが～」	带有【口袋】	
はずれる	外れる	脱落、掉下	
「ボタンが～」	「Buttonが～」	【纽扣】掉了	
とまる	止まる	停住、停止、止住	
「エレベーターが～」	「Elevatorが～」	【电梯】停了	
まちがえる	間違える	弄错	
おとす	落とす	丢失、弄丢	
かかる	掛かる	挂，悬挂	
「かぎが～」	「鍵が～」	上着【锁】	
「お」さら	「お」皿	盘子	
「お」ちゃわん	「お」茶碗	饭碗	
コップ	Cup	杯子	
ガラス	Glass	玻璃	
ふくろ	袋	袋子	
さいふ	財布	钱包	
えだ	枝	树枝	
えきいん	駅員	车站工作人员	
このへん	この辺	这一带、这附近	
～へん	～辺	～的附近	
このくらい		这样大小的	
おさきにどうぞ	お先にどうぞ	您先请	
「ああ」よかった		【啊】太好了（用于放心时）	
会　話			
いまのでんしゃ	今の電車	刚才的电车	
わすれもの	忘れ物	遗忘的东西	
～がわ	～側	～一侧的、～一边的	
ポケット	Pocket	口袋	
おぼえていません	覚えていません	不记得了	
あみだな	網棚	行李网	
たしか	確か	我记得、应该是、可能	
読み物			
じしん	地震	地震	
かべ	壁	墙壁	
はり	針	（钟表的）指针	
さす	指す	指	
えきまえ	駅前	车站前	
たおれる	倒れる	倒、倒下	
にし	西	西	
ほう	方	方向	
第30课			
はる               	貼る	贴、张挂	
かける	掛ける	挂、悬挂	
かざる	飾る	装饰	
ならべる	並べる	排列	
うえる	植える	种植	
もどる	戻る	还、归还、送回	
まとめる	纏める	汇集、收集、整理、归纳	
かたづける	片付ける	收拾、整理	
しまう		放回原处、回收	
きめる	決める	决定	
しらせる	知らせる	通知	
そうだんする	相談する	商量、讨论	
よしゅうする	予習する	预习	
ふくしゅうする	復習する	复习	
そのままにする		保持原状	
おこさん	お子さん	（您的）孩子	
じゅぎょう	授業	课、课程	
こうぎ	講義	上课、讲义	
ミーティング	Meeting	会议	
よてい	予定	计划、预定	
おしらせ	お知らせ	通知	
あんないしょ  	案内書	（旅行）指南	
カレンダー	Calendar	日历	
ポスター	Post	宣传画	
ごみばこ	ゴミ箱	垃圾箱	
にんぎょう	人形	娃娃、偶人	
かびん	花瓶	花瓶	
かがみ	鏡	镜子	
ひきだし	引き出し	抽屉	
げんかん	玄関	大门、入口	
ろうか	廊下	走廊、过道	
かべ	壁	墙壁	
いけ	池	水池、池塘	
こうばん	交番	派出所	
もとのところ	元の所	原来的地方	
まわり	周り	周围、附近	
まんなか	真ん中	正中间	
すみ	隅	角落	
まだ 		还	
～ほど 		大约～、大概～	
会　話			
よていひょう	予定表	日程、时间表	
ごくろうさま	ご苦労様	您辛苦了。（用于上司或年长对手下的工作表示感谢）	
きぼう	希望	要求、希望	
何か ご希望が ありますか		您有什么要求吗？	
ミュージカル	Musical	音乐剧、音乐的	
それは　いいですね 		那太好了	
ブロードウェイ		百老汇	
読み物			
まるい	丸い	圆的	
つき	月	月亮	
ある～	ある～	某个～、一个～	
ちきゅう	地球	地球	
うれしい	嬉しい	高兴的、愉快的、快乐的	
いや（な）	嫌（な）	讨厌	
すると		于是、这么一来	
めがさめます	目が覚めます	醒、睡醒	
第31课			
はじまる	始まる	开始	
「しきが～」	「式が～」	【仪式】开始	
つづける	続ける	继续	
みつける	見つける	找、寻找	
うける	受ける	参加	
「しけんを～」	「試験を～」	参加【考试】	
にゅうがくする	入学する	进、上	
「だいがくに～」	「大学に～」	上【大学】	
そつぎょうする	卒業する	毕业	
「だいがくに～」	「大学に～」	大学【毕业】	
しゅっせきする	出席する	出席	
「かいぎに～」	「会議に～」	出席【会议】	
きゅうけいする	休憩する	休息	
れんきゅう	連休	连休	
さくぶん	作文	作文、写作	
てんらんかい	展覧会	展览会	
けっこんしき	結婚式	结婚典礼	
「お」そうしき	「お」葬式	葬礼	
しき	式	仪式	
ほんしゃ	本社	总社、本社、总公司	
してん	支店	分社、子公司	
きょうかい	教会	教堂	
だいがくいん	大学院	大学院、研究生院	
どうぶつえん	動物園	动物园	
おんせん	温泉	温泉	
